id,label,country,Lat ,Lon
RLP,Rosella Plains,Australia,-18.433333,144.466667
RMA,Roma,Australia,-26.55937498,148.7907006
RMK,Renmark,Australia,-34.2,140.683333
ROH,Robinhood,Australia,-18.85,143.7
ROK,Rockhampton,Australia,-23.36391111,150.5200008
RPB,Roper Bar,Australia,-14.75,134.55
RPM,Ngukurr,Australia,-14.833333,134.916667
RPV,Roper Valley,Australia,-15.033333,134.033333
RRE,Marree,Australia,-29.65,138.066667
RSB,Roseberth,Australia,-25.783333,139.616667
RSE,Rose Bay,Australia,-33.866667,151.266667
RTP,Rutland Plains,Australia,-15.6,141.833333
RTS,Rottnest Island,Australia,-32.0,115.533333
RTY,Merty,Australia,-29.0,138.733333
RVT,Ravensthorpe,Australia,-33.58287392,120.0333345
SBR,Saibai Island,Australia,-9.4,142.666667
SCG,Spring Creek,Australia,-18.633333,144.55
SFP,Surfers Paradise,Australia,-28.0,153.433333
SGO,St George (AU),Australia,-28.083333,148.75
SGP,Shay Gap,Australia,-20.483333,120.1
SHQ,Southport,Australia,-27.951944,153.417778
SHT,Shepparton,Australia,-36.37458982,145.3913732
SHU,Smith Point,Australia,-11.166667,133.833333
SIO,Smithton,Australia,-40.83292234,145.1166613
SIX,Singleton,Australia,-32.56949909,151.1600134
SNB,Snake Bay,Australia,-11.333333,130.75
SNH,Stanthorpe,Australia,-28.633333,151.966667
SOI,South Molle Island,Australia,-20.0,149.0
SQC,Southern Cross,Australia,-31.216145,119.3166857
SQP,Starcke,Australia,-14.2,147.166667
SRM,Sandringham,Australia,-24.05,139.066667
SRN,Strahan,Australia,-42.15,145.3
SRR,Dunwich,Australia,-27.0,153.0
SSK,Sturt Creek,Australia,-19.333333,128.133333
SSP,Silver Plains,Australia,-13.983333,143.55
STF,Stephen Island,Australia,-9.5,143.566667
STH,Strathmore,Australia,-17.833333,142.533333
SWB,Shaw River,Australia,-21.516667,119.366667
SWC,Stawell,Australia,-37.05961261,142.7600093
SWH,Swan Hill,Australia,-35.33961424,143.5400134
SWZ,Sydney West,Australia,-33.883333,150.716667
SXE,Sale,Australia,-38.10957436,147.0600052
SYD,Sydney (AU),Australia,-33.946111,151.177222
SYU,Warraber Island,Australia,-10.516667,142.366667
TAN,Tangalooma,Australia,-27.178056,153.373611
TAQ,Tarcoola,Australia,-33.433333,142.583333
TBK,Timber Creek,Australia,-44.766667,169.1
TBL,Tableland,Australia,-17.0,145.0
TCA,Tennant Creek,Australia,-19.65002928,134.200015
TCW,Tocumwal,Australia,-35.816667,145.566667
TDN,Theda Station,Australia,-33.1,145.0
TDR,Theodore,Australia,-24.94949909,150.0833349
TEF,Telfer,Australia,-23.083333,115.683333
TEM,Temora,Australia,-34.433333,147.533333
TGN,La Trobe Regional,Australia,-38.183333,146.533333
THG,Thangool,Australia,-24.493889,150.576111
TKY,Turkey Creek,Australia,-30.333333,142.75
TMW,Tamworth,Australia,-31.10261188,150.9171342
TPR,Tom Price,Australia,-22.69346108,117.7930578
TRO,Taree,Australia,-31.89760211,152.4618461
TSV,Townsville,Australia,-19.24995034,146.7699971
TUM,Tumut,Australia,-35.30959023,148.2200378
TWB,Toowoomba,Australia,-27.542778,151.916389
TWN,Tewantin,Australia,-26.383333,153.033333
TWP,Torwood,Australia,-26.583333,147.55
TXR,Tanbar,Australia,-25.833333,141.916667
TYB,Tibooburra,Australia,-29.433333,142.016667
TYG,Thylungra,Australia,-26.066667,143.466667
TYP,Tobermorey,Australia,-22.283333,137.916667
UBB,Mabuiag Island,Australia,-9.95,142.183333
UBU,Kalumburu,Australia,-14.416667,126.666667
UIR,Quirindi,Australia,-31.490556,150.513889
ULP,Quilpie,Australia,-26.61663247,144.2500476
UMR,Woomera,Australia,-31.14958576,136.8000114
USL,Useless Loop,Australia,-25.966667,113.116667
UTB,Muttaburra,Australia,-22.588056,144.526667
